RESULTS:
X and Y values for Problem 1:
1, 10
2, 20
3, 32
4, 46
5, 62
6, 80
7, 100
8, 122
9, 146
10, 172
11, 200
12, 230
13, 262
14, 296
15, 332
16, 370
17, 410
18, 452
19, 496
20, 542
21, 590
22, 640
23, 692
24, 746
25, 802
26, 860
27, 920
28, 982
29, 1046
30, 1112
31, 1180
32, 1250
33, 1322
34, 1396
35, 1472
36, 1550
37, 1630
38, 1712
39, 1796
40, 1882
41, 1970
42, 2060
43, 2152
44, 2246
45, 2342
46, 2440
47, 2540
48, 2642
49, 2746
50, 2852

X and Y values for Problem 2:
1, 5
2, 8
3, 11
4, 14
5, 17
6, 20
7, 23
8, 26
9, 29
10, 32
11, 35
12, 38
13, 41
14, 44
15, 47
16, 50
17, 53
18, 56
19, 59
20, 62
21, 65
22, 68
23, 71
24, 74
25, 77
26, 80
27, 83
28, 86
29, 89
30, 92
31, 95
32, 98
33, 101
34, 104
35, 107
36, 110
37, 113
38, 116
39, 119
40, 122
41, 125
42, 128
43, 131
44, 134
45, 137
46, 140
47, 143
48, 146
49, 149
50, 152

X and Y values for Problem 3:
1, 1
2, 4
3, 9
4, 16
5, 25
6, 36
7, 49
8, 64
9, 81
10, 100
11, 121
12, 144
13, 169
14, 196
15, 225
16, 256
17, 289
18, 324
19, 361
20, 400
21, 441
22, 484
23, 529
24, 576
25, 625
26, 676
27, 729
28, 784
29, 841
30, 900
31, 961
32, 1024
33, 1089
34, 1156
35, 1225
36, 1296
37, 1369
38, 1444
39, 1521
40, 1600
41, 1681
42, 1764
43, 1849
44, 1936
45, 2025
46, 2116
47, 2209
48, 2304
49, 2401
50, 2500

X and Y values for Problem 4:
1, 1
2, 8
3, 27
4, 64
5, 125
6, 216
7, 343
8, 512
9, 729
10, 1000
11, 1331
12, 1728
13, 2197
14, 2744
15, 3375
16, 4096
17, 4913
18, 5832
19, 6859
20, 8000
21, 9261
22, 10648
23, 12167
24, 13824
25, 15625
26, 17576
27, 19683
28, 21952
29, 24389
30, 27000
31, 29791
32, 32768
33, 35937
34, 39304
35, 42875
36, 46656
37, 50653
38, 54872
39, 59319
40, 64000
41, 68921
42, 74088
43, 79507
44, 85184
45, 91125
46, 97336
47, 103823
48, 110592
49, 117649
50, 125000

X and Y values for Problem 5:
1, 1
2, 32
3, 243
4, 1024
5, 3125
6, 7776
7, 16807
8, 32768
9, 59049
10, 100000
11, 161051
12, 248832
13, 371293
14, 537824
15, 759375
16, 1048576
17, 1419857
18, 1889568
19, 2476099
20, 3200000
21, 4084101
22, 5153632
23, 6436343
24, 7962624
25, 9765625
26, 11881376
27, 14348907
28, 17210368
29, 20511149
30, 24300000
31, 28629151
32, 33554432
33, 39135393
34, 45435424
35, 52521875
36, 60466176
37, 69343957
38, 79235168
39, 90224199
40, 102400000
41, 115856201
42, 130691232
43, 147008443
44, 164916224
45, 184528125
46, 205962976
47, 229345007
48, 254803968
49, 282475249
50, 312500000

X and Y values for Problem 6:
1, 14
2, 28
3, 58
4, 110
5, 190
6, 304
7, 458
8, 658
9, 910
10, 1220
11, 1594
12, 2038
13, 2558
14, 3160
15, 3850
16, 4634
17, 5518
18, 6508
19, 7610
20, 8830
21, 10174
22, 11648
23, 13258
24, 15010
25, 16910
26, 18964
27, 21178
28, 23558
29, 26110
30, 28840
31, 31754
32, 34858
33, 38158
34, 41660
35, 45370
36, 49294
37, 53438
38, 57808
39, 62410
40, 67250
41, 72334
42, 77668
43, 83258
44, 89110
45, 95230
46, 101624
47, 108298
48, 115258
49, 122510
50, 130060

X and Y values for Problem 7:
1, 10
2, 9
3, 26
4, 103
5, 306
6, 725
7, 1474
8, 2691
9, 4538
10, 7201
11, 10890
12, 15839
13, 22306
14, 30573
15, 40946
16, 53755
17, 69354
18, 88121
19, 110458
20, 136791
21, 167570
22, 203269
23, 244386
24, 291443
25, 344986
26, 405585
27, 473834
28, 550351
29, 635778
30, 730781
31, 836050
32, 952299
33, 1080266
34, 1220713
35, 1374426
36, 1542215
37, 1724914
38, 1923381
39, 2138498
40, 2371171
41, 2622330
42, 2892929
43, 3183946
44, 3496383
45, 3831266
46, 4189645
47, 4572594
48, 4981211
49, 5416618
50, 5879961

X and Y values for Problem 8:
1, 0.8414709848078965
2, 0.9092974268256817
3, 0.1411200080598672
4, -0.7568024953079282
5, -0.9589242746631385
6, -0.27941549819892586
7, 0.6569865987187891
8, 0.9893582466233818
9, 0.4121184852417566
10, -0.5440211108893698
11, -0.9999902065507035
12, -0.5365729180004349
13, 0.4201670368266409
14, 0.9906073556948704
15, 0.6502878401571168
16, -0.2879033166650653
17, -0.9613974918795568
18, -0.7509872467716762
19, 0.14987720966295234
20, 0.9129452507276277
21, 0.8366556385360561
22, -0.008851309290403876
23, -0.8462204041751706
24, -0.9055783620066238
25, -0.13235175009777303
26, 0.7625584504796027
27, 0.956375928404503
28, 0.27090578830786904
29, -0.6636338842129675
30, -0.9880316240928618
31, -0.404037645323065
32, 0.5514266812416906
33, 0.9999118601072672
34, 0.5290826861200238
35, -0.428182669496151
36, -0.9917788534431158
37, -0.6435381333569995
38, 0.2963685787093853
39, 0.9637953862840878
40, 0.7451131604793488
41, -0.158622668804709
42, -0.9165215479156338
43, -0.8317747426285983
44, 0.017701925105413577
45, 0.8509035245341184
46, 0.9017883476488092
47, 0.123573122745224
48, -0.7682546613236668
49, -0.9537526527594719
50, -0.26237485370392877

X and Y values for Problem 9:
1, 0.5403023058681397
2, -0.4161468365471424
3, -0.9899924966004454
4, -0.6536436208636119
5, 0.28366218546322625
6, 0.960170286650366
7, 0.7539022543433046
8, -0.14550003380861354
9, -0.9111302618846769
10, -0.8390715290764524
11, 0.004425697988050785
12, 0.8438539587324921
13, 0.9074467814501962
14, 0.1367372182078336
15, -0.7596879128588213
16, -0.9576594803233847
17, -0.27516333805159693
18, 0.6603167082440802
19, 0.9887046181866692
20, 0.408082061813392
21, -0.5477292602242684
22, -0.9999608263946371
23, -0.5328330203333975
24, 0.424179007336997
25, 0.9912028118634736
26, 0.6469193223286404
27, -0.2921388087338362
28, -0.9626058663135666
29, -0.7480575296890004
30, 0.15425144988758405
31, 0.9147423578045313
32, 0.8342233605065102
33, -0.013276747223059479
34, -0.8485702747846052
35, -0.9036922050915067
36, -0.12796368962740468
37, 0.7654140519453433
38, 0.9550736440472949
39, 0.26664293235993725
40, -0.6669380616522619
41, -0.9873392775238264
42, -0.39998531498835127
43, 0.5551133015206257
44, 0.9998433086476912
45, 0.5253219888177297
46, -0.4321779448847783
47, -0.9923354691509287
48, -0.6401443394691997
49, 0.3005925437436371
50, 0.9649660284921133

X and Y values for Problem 10:
1, 104
2, 196
3, 676
4, 2180
5, 5800
6, 13204
7, 26756
8, 49636
9, 85960
10, 140900
11, 220804
12, 333316
13, 487496
14, 693940
15, 964900
16, 1314404
17, 1758376
18, 2314756
19, 3003620
20, 3847300
21, 4870504
22, 6100436
23, 7566916
24, 9302500
